Year,Month,Segment,Sub-Segment,Category,Subcategory,Tag,Amount
2025,January,Gaming,Mobile,Core,Revenue,Gross,850000000000
2025,January,Gaming,Mobile,Core,COGS,Direct,-680000000000
2025,January,Marketplace,B2C,Core,Revenue,Gross,320000000000
2025,January,Marketplace,B2C,Core,COGS,Direct,-290000000000
2025,January,Fintech,Payment,Core,Revenue,Gross,150000000000
2025,January,Fintech,Payment,Core,COGS,Direct,-120000000000
2025,January,Media,Digital,Core,Revenue,Gross,75000000000
2025,January,Media,Digital,Core,COGS,Direct,-55000000000
2025,January,Cloud,SaaS,Core,Revenue,Gross,40000000000
2025,January,Cloud,SaaS,Core,COGS,Direct,-28000000000
2025,January,Company,OpEx,SM,S&M - Online,Cost,-35000000000
2025,January,Company,OpEx,SM,S&M - Offline,Cost,-18000000000
2025,January,Company,OpEx,SM,S&M - Others,Cost,-12000000000
2025,January,Company,OpEx,SM,S&M - Payment Channel,Cost,-5000000000
2025,January,Company,OpEx,SM,S&M - O2O,Cost,-8000000000
2025,January,Company,OpEx,SM,S&M - Distribution Cost,Cost,-22000000000
2025,January,Company,OpEx,GA,G&A - Depreciation,Cost,-9000000000
2025,January,Company,OpEx,GA,G&A - IT Cost,Cost,-6500000000
2025,January,Company,OpEx,GA,G&A - Other Staff Cost,Cost,-14000000000
2025,January,Company,OpEx,GA,G&A - Facility Management and Travelling,Cost,-4200000000
2025,January,Company,OpEx,GA,G&A - Consultancy Cost,Cost,-3100000000
2025,February,Gaming,Mobile,Core,Revenue,Gross,890000000000
2025,February,Gaming,Mobile,Core,COGS,Direct,-710000000000
2025,February,Marketplace,B2C,Core,Revenue,Gross,345000000000
2025,February,Marketplace,B2C,Core,COGS,Direct,-310000000000
2025,February,Fintech,Payment,Core,Revenue,Gross,162000000000
2025,February,Fintech,Payment,Core,COGS,Direct,-130000000000
2025,February,Media,Digital,Core,Revenue,Gross,80000000000
2025,February,Media,Digital,Core,COGS,Direct,-59000000000
2025,February,Cloud,SaaS,Core,Revenue,Gross,43000000000
2025,February,Cloud,SaaS,Core,COGS,Direct,-30000000000
2025,February,Company,OpEx,SM,S&M - Online,Cost,-38000000000
2025,February,Company,OpEx,SM,S&M - Offline,Cost,-20000000000
2025,February,Company,OpEx,SM,S&M - Others,Cost,-13000000000
2025,February,Company,OpEx,SM,S&M - Payment Channel,Cost,-5500000000
2025,February,Company,OpEx,SM,S&M - O2O,Cost,-9000000000
2025,February,Company,OpEx,SM,S&M - Distribution Cost,Cost,-24000000000
2025,February,Company,OpEx,GA,G&A - Depreciation,Cost,-9000000000
2025,February,Company,OpEx,GA,G&A - IT Cost,Cost,-6800000000
2025,February,Company,OpEx,GA,G&A - Other Staff Cost,Cost,-14500000000
2025,February,Company,OpEx,GA,G&A - Facility Management and Travelling,Cost,-4500000000
2025,February,Company,OpEx,GA,G&A - Consultancy Cost,Cost,-3200000000
2025,March,Gaming,Mobile,Core,Revenue,Gross,920000000000
2025,March,Gaming,Mobile,Core,COGS,Direct,-735000000000
2025,March,Marketplace,B2C,Core,Revenue,Gross,360000000000
2025,March,Marketplace,B2C,Core,COGS,Direct,-322000000000
2025,March,Fintech,Payment,Core,Revenue,Gross,175000000000
2025,March,Fintech,Payment,Core,COGS,Direct,-140000000000
2025,March,Media,Digital,Core,Revenue,Gross,82000000000
2025,March,Media,Digital,Core,COGS,Direct,-61000000000
2025,March,Cloud,SaaS,Core,Revenue,Gross,47000000000
2025,March,Cloud,SaaS,Core,COGS,Direct,-33000000000
2025,March,Company,OpEx,SM,S&M - Online,Cost,-40000000000
2025,March,Company,OpEx,SM,S&M - Offline,Cost,-22000000000
2025,March,Company,OpEx,SM,S&M - Others,Cost,-14000000000
2025,March,Company,OpEx,SM,S&M - Payment Channel,Cost,-6000000000
2025,March,Company,OpEx,SM,S&M - O2O,Cost,-10000000000
2025,March,Company,OpEx,SM,S&M - Distribution Cost,Cost,-25000000000
2025,March,Company,OpEx,GA,G&A - Depreciation,Cost,-9000000000
2025,March,Company,OpEx,GA,G&A - IT Cost,Cost,-7000000000
2025,March,Company,OpEx,GA,G&A - Other Staff Cost,Cost,-15000000000
2025,March,Company,OpEx,GA,G&A - Facility Management and Travelling,Cost,-4800000000
2025,March,Company,OpEx,GA,G&A - Consultancy Cost,Cost,-3500000000
